"","tweet_text","create_at","names","screen_name","Gender"
"89"," stock picks in the  billion virtual reality market ","2017-02-02 07:39:35","MARKETPATROL","MARKET PATROL",2
"90","stockmarket trading is changing in the age of passive investing ","2017-02-02 12:04:08","DMAFINTECH","DIGITALMARKETSADV.",NA
"91"," attorney opinion letter has been filed otc markets should be ps current shorty","2017-02-02 16:29:40","DUCKSQUAWK","DENTTECH",NA
"92"," signs a stockmarket selloff in february may be in the cards  marketwatch ","2017-01-31 10:48:12","COCOLASVEGAS64","HEXE 9",NA
"93","is vix pointing to a stockmarket crash in k its pointing to an ego crash for the bears ","2017-01-31 09:42:00","SOLOMON99999000","VLAD ROTHSTEIN",2
"94","surprised it isnt up more on those jan comps ","2017-02-02 17:28:39","JEFFGENT99","JEFF GEORGE",NA
"95"," almost the entire trump bump in the stock market has gone away ","2017-01-31 18:41:40","LAUREENANDK","LAUREEN",2
"96"," olathe best android stock market apps stock ticker ","2017-02-01 10:09:01","PHAIRINGRA91","HALEY WALLACE",1
"97","rt memeslnhistory the stock market in  ","2017-02-02 20:31:20","APHEUDITE","B¡øñTTœíF¡ø†L",NA
"98"," messy travel ban rollout ruins stock market surge ","2017-01-31 19:09:59","NOBRAINSTRUMP","NO BRAINS TRUMP",NA
"99","s options oi chart free stock station app itunes ","2017-02-02 15:45:05","OPTIONSPROOI","OPTIONSPRO OI",NA
"100"," sure i wouldnt be surprised if its all prearranged  nothing surprises me when it comes to the stock market","2017-01-31 13:42:30","SLAMBUCKET","JUNKMAIL",NA
"101"," bad news donnieboy 
seems the stock market doesnt like 
your racism amp hate 

who knew right ","2017-01-31 10:16:29","INCOHETUR","INCOHETUR",NA
"102"," is flo crying because soross profit  loss on the stock market","2017-02-02 09:06:38","GLENDALEPETE","PETE WAGNER",2
"103"," stratospheric valuation total stock market capitalization as a ratio of gross domestic income at  spx spy‚Ä ","2017-02-01 13:03:26","FINTREND2K","FINTREND2K",NA
"104","the nigerian stock exchange now has total market value of sixteen trillion naira which is about fifty three ","2017-01-31 19:51:34","9JAFEED_ENT","9JAFEEDENTERTAINMENT",NA
"105","negocios noticias mysize inc nasdaq mysz to ring the nasdaq stock market closing bell in honor of the‚Ä ","2017-01-31 17:02:07","BETASDIGITALES","BETASDIGITALES",NA
"106"," loan money stock market ","2017-02-01 16:41:36","DIEPERHTAB88","BAILEY",2
"107"," keep buying dunkin donuts coffee starbucks has lost almost  on the stock mar‚Ä","2017-02-02 06:49:54","MCICERO10","PROUD AMERICAN",NA
"108"," free stock prices charts ‚Äì stock price quotes common inspirational quotes ","2017-02-02 16:21:54","MILLBUNDVE87","KAITLYN BLACK",1
"109","the don versus hillary guarantees extreme stockmarket volatility how you should play this ","2017-02-01 20:06:15","ME_THE_INVESTOR","W_INVESTOR",NA
"110"," stockmarket trading is time shifting in the age of passive investing ","2017-02-02 08:59:33","PETERGAU","PETER",2
"111","cello acquires defined health  stock market wire  stock market wire ","2017-02-01 11:43:04","WIOLONCZELA","CELLO & STRINGS NEWS",NA
"112","love info wars ","2017-01-31 18:34:31","CKAUSHAS","CANDICE KAUSHAS",2
"113","real time commodity futures prices   ","2017-01-31 07:26:26","JACKSONJENNINGS","JACKSONT",2
"114","snapchat reveals plans for us stock market listing the owner of messaging app snapchat files plans to sells its‚Ä ","2017-02-02 20:35:10","TEMPIELANEHART","BITCOIN WORLD",1
"115"," the media made big mistake yesterday saying that rumors spreading that tax cut may not happen until  caused stoc‚Ä","2017-01-31 11:13:13","UNROOLY1","RAOUL GARCIA",2
"116","binary is similar to stock market trading we have  day trials with us drop me a msg ","2017-01-31 07:10:51","FXJUSTINSO","JUSTIN - TRADER",2
"117","stock market on track for lower open ","2017-01-31 08:00:19","BRIEFINGCOMSMU","BRIEFING.COM",NA
"118","wall street journal international stock market position tuesday st january  at pm of click image ‚Ä ","2017-01-31 12:18:42","SAJIDPFAZAL","SAJID PERVAIZ FAZAL",NA
"119","trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini ","2017-02-02 09:58:37","REGINATRUMPFANS","REGINA, TRUMP FANS",2
"120","clintonlinked ‚Äòlaureate education‚Äô tanks in first day on stock market warforyourmind ","2017-02-02 09:16:09","MALEMANEWS","JULIUS MALEMA NEWS",2
"121","what would force  to rethink muslim ban amp antitrade posture this falling stock market ","2017-01-31 11:15:37","SUZYJI","SUZANNE GOLDENBERG",1
"122","are you prepared for the crash of the stock market i urge you to view dont b stupid christian","2017-02-01 17:56:07","IMREADINGLYRICS","READING LYRICS",NA
"123","tom brady has the power to decide the super bowl and stock market  newyork nyc","2017-02-01 13:01:20","STERLINGMHOLMES","SMPH",2
"124","shocking or not ","2017-01-31 13:12:16","DORMOUSESEZ","THEDORMOUSE",2
"125"," stock market slumps as s muslimban freaks out investors news","2017-01-31 13:18:32","CLAUDEMILLETART","CLAUDE J. MILLETTE",2
"126","stocks battle back trim losses apple to report biotech stocks","2017-01-31 16:32:29","STOCKS_BIOTECH","BIOTECH STOCKS  ",NA
"127"," missing chinese tycoon ‚Äòhelping inquiries‚Äô into  stock market turmoil ","2017-02-01 20:22:26","ASHISHCHAUHAN","ASHISH CHAUHAN BSE",NA
"128"," concord stock market listings ","2017-02-02 17:47:53","NIECLOTHEN91","MORGAN COOK",2
"129"," london stock market on longest winning streak in history","2017-02-01 12:53:48","STOCKGECKO","THE STOCKGECKO",NA
"130","options maxpain chart for s free stock station app itunes ","2017-02-02 15:59:39","OPTIONSMAXPAIN","OPTIONSPRO MAXPAIN",NA
"131","my sneaker collection is worth  value yours  the stock market for sneakers","2017-02-02 17:27:42","_MIKEYK","MIKEY K",NA
"132","errol anderson speaks on strained global economics and its impact on commodity prices neagupdate Ä ","2017-02-02 12:42:13","BYJOSHUASANTOS","JOSHUA SANTOS",2
"133","malaysia stock market may be stuck in neutral  rtt news ","2017-02-02 19:16:11","PHAMNGUYENLY","TRAN NGUYEN",NA
"134"," stock market crash is the top in mike maloney spx spy indu ","2017-01-31 07:33:14","N5ATALIEROBERTS","NATALIE ROBERTS",1
"135","app for trump tweets amp stock market fintech markets socialmedia trading ","2017-02-01 18:31:08","CRYPTINSIGHT","STREAMING NEWS",NA
"136","market snapshot stock market ends mostly lower but posts monthly gains ","2017-01-31 18:19:15","MARKETSTOCKNEWS","STOCKMARKETNOW",2
"137"," is this not the same story for every single stock on the market","2017-02-02 20:10:46","DIGGYDOY","CALGARYIRONCONDOR",NA
"138"," concord stock market listings ","2017-02-02 12:49:26","SCHENTACOM91","AALIYAH",1
"139"," stock market down because  boycotting confirmation hearings obstructing scotus no tax cuts get off your‚Ä","2017-01-31 20:19:11","STANLJLS","JONNIE STANLEY=TRUMP",2
"140","his ppl yaaaaaaaaa leave it that ","2017-01-31 19:53:57","SAIL1962","JERRY WHITE",2
"141","this stockmarket bull is ready to punch all the naysayers in the face ","2017-02-02 14:17:43","SOLOMON99999000","VLAD ROTHSTEIN",2
"142","  stock market crashing and useless president of all time herbert hoover waiting it out weakening the economy even more","2017-02-01 10:47:55","GOLDENPUNANI","SUCKMYLISA",2
"143","the morning market in muang district nan province thailand
life is slow and comfort comfort district life","2017-02-01 08:14:36","ISSARAKARN","ISSARAKARN  SOMSAKUL",NA
"144"," tech stock dividends top picks for 
","2017-02-02 11:42:21","DIGGINGPLATINUM","TRADER WHODONT TRADE",NA
"145"," the stock market in  ","2017-01-30 18:11:01","TANIIAAAM","T√¢NIA",NA
"146","vsl  vpc specialty lending invest plc transaction in own shares ","2017-01-31 13:08:01","GALEBETT","JANET GALE",2
"147","xlk options volume chart in animation free stock station app itunes ","2017-02-01 16:31:18","OPTIONSPROVOL","OPTIONSPRO VOLUME",NA
"148"," almost the entire trump bump in the stock market has gone away ","2017-01-31 18:53:46","RSMILEY_","LOCK HIM UP",NA
"149","ua amp uaa will be very active today as they reported very bad earnings stock has tanked premarket may continue before reversing back up","2017-01-31 09:04:07","MSWALLSTGRINDER","MSWALLSTGRINDER",NA
"150","the stock market under trump ‚Äì and the real test ahead tdas chief strategist shares h gld etf etfs stocks","2017-02-01 18:55:42","ETFFUNDS","TOP ETF FUNDS",NA
"151","stock index futures pointed to a lower open on thursday as traders eyed a big day of earnings and data ","2017-02-02 08:15:11","BRADSHAWFINPLAN","BRADSHAW FINANCIAL",NA
"152"," it was reported that george soros lost  billion in the stock market rally following trumps election guess he shorted t‚Ä","2017-01-31 09:48:26","STOCKNUGGET","BRADLEY",2
"153","the stock market is way overbought fck","2017-01-31 14:24:31","AUGR37407","AUGR37407",NA
"154","why pension funds are being forced to speculate in the stock market ","2017-02-01 20:22:46","SAUL42","TACTICAL INVESTOR",NA
"155","thezerohedge ‚Äï mysteriously disappeared chinese tycoon ‚Äòhelping inquiries‚Äô into  stock market turmoil‚Ä ","2017-02-01 18:28:17","PENNYSTOCKSMOMO","PENNY STOCKS MOMO",1
"156"," today i wrote about why the rule of law is the only thing holding up the stock market 

","2017-01-31 17:23:32","TFFOM","FEMININEFACEOFMONEY",NA
"157"," trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini ","2017-02-02 16:53:21","FATIMAFOURHALI","FF001",1
"158"," welp donald trump just brexited our stock market","2017-02-02 18:45:38","ASPEED","NAZIPUNCHER PAMPHLET",NA
"159"," glendale stock market listings ","2017-02-01 13:19:02","CHALTINGCU87","ARIANA",1
"160"," snapchat owner files for listing on us stock market to raise bn making it biggest us flotation in recent years ","2017-02-02 17:57:52","KIMCHEEMICHAEL","KIMALLEN",NA
